project,model,sample,orientation,housing,dimming,rack,branch,socket,manufacturer,productName,lampShapeSize,lastHours
ledLifeTesting,8,23,h,0,1,4,1,9,Utilitech/Feit,LEDXNDM/LED,MR16,3000
ledLifeTesting,8,24,h,0,1,4,1,10,Utilitech/Feit,LEDXNDM/LED,MR16,3000
ledLifeTesting,8,25,u,0,1,4,2,8,Utilitech/Feit,LEDXNDM/LED,MR16,3000
ledLifeTesting,8,26,d,0,1,4,2,9,Utilitech/Feit,LEDXNDM/LED,MR16,3000
ledLifeTesting,8,27,d,0,1,4,2,10,Utilitech/Feit,LEDXNDM/LED,MR16,3000
ledLifeTesting,8,28,u,1,1,4,1,4,Utilitech/Feit,LEDXNDM/LED,MR16,3000
ledLifeTesting,8,29,u,1,1,4,1,5,Utilitech/Feit,LEDXNDM/LED,MR16,3000
ledLifeTesting,8,30,u,1,1,4,1,6,Utilitech/Feit,LEDXNDM/LED,MR16,3000
ledLifeTesting,8,31,d,0,0,1,2,2,Utilitech/Feit,LEDXNDM/LED,MR16,3000
ledLifeTesting,9,1,d,0,0,8,5,6,Ecosmart/LightingScience,ECS 22 WW FL 50WE 120,PAR20,3000
ledLifeTesting,9,2,d,0,0,8,5,7,Ecosmart/LightingScience,ECS 22 WW FL 50WE 120,PAR20,3000
ledLifeTesting,9,3,d,0,0,8,5,8,Ecosmart/LightingScience,ECS 22 WW FL 50WE 120,PAR20,3000
ledLifeTesting,9,4,d,0,0,8,5,9,Ecosmart/LightingScience,ECS 22 WW FL 50WE 120,PAR20,3000
ledLifeTesting,9,5,d,0,0,8,5,10,Ecosmart/LightingScience,ECS 22 WW FL 50WE 120,PAR20,3000
ledLifeTesting,9,6,u,0,0,8,8,1,Ecosmart/LightingScience,ECS 22 WW FL 50WE 120,PAR20,3000
ledLifeTesting,9,7,u,0,0,8,8,2,Ecosmart/LightingScience,ECS 22 WW FL 50WE 120,PAR20,3000
ledLifeTesting,9,8,u,0,0,8,8,3,Ecosmart/LightingScience,ECS 22 WW FL 50WE 120,PAR20,3000
ledLifeTesting,9,9,u,0,0,8,8,4,Ecosmart/LightingScience,ECS 22 WW FL 50WE 120,PAR20,3000
